merchant_category,transactions,fraud_rate
ATM Withdrawal,209536,0.0052306047648136835
Healthcare,210186,0.005200156052258476
Entertainment,208721,0.005164789359958988
Salary Credit,209673,0.005155647126716363
Fuel,209576,0.005024430278276138
Fund Transfer,210100,0.005007139457401237
Utilities,209665,0.004993680394915699
Groceries,209266,0.004969751416857015
Dining,209764,0.004938883697869987
Shopping,208219,0.004913096307253421
Rent,209088,0.004863980716253443
Education,209201,0.004794432148985904
Travel,209843,0.004765467516190676
Insurance,209186,0.004751752029294503
