state,customers,avg_income,avg_credit_score,balances,loan_book
Maharashtra,11981,1809303.0212836992,600.3923712544863,726943397.67,1525804071.91
Madhya Pradesh,8059,1830367.3638168508,600.3071100632833,696457521.34,1458492719.51
West Bengal,4011,1833802.8359511343,601.700822737472,421327051.55,884671205.13
Kerala,3910,1812954.8979539643,601.0897698209719,408199905.53,869373821.85
Rajasthan,3878,1816908.5585353274,597.2944816915937,327870046.88,683041343.05
Punjab,4123,1833606.884307543,597.8113024496726,316462754.93,692301800.58
Gujarat,4028,1833245.8833167825,599.404915590864,291863019.13,624341935.6
Delhi,3938,1814631.0675469781,600.1345860843068,261583203.58,581426630.36
Uttar Pradesh,4047,1804557.768470472,597.0004941932295,256814288.39,519541947.05
Tamil Nadu,3974,1819011.910417715,599.6877201811776,239148361.51,497931641.49
Telangana,3958,1830116.7604850936,602.0917129863567,202315095.02,422039919.95
Karnataka,4093,1841572.59100904,597.6491570974835,198332814.56,455680639.3
